Artists,Name,Date,Genre,Writing.Credits,Features
5 Seconds Of Summer,Youngblood,12-Apr-18,"New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock","Watt, Louis bell, Ali tamposi, Ashton irwin, Calum hood, Luke hemmings",
ScHoolboy Q,Floating,26-Apr-19,"Rap,Gangsta Rap,Hip-Hop,Trap,West Coast","Kendrick lamar, Johnny juliano, Cardo, Schoolboy q, 21 savage",21 Savage
ScHoolboy Q + Travis Scott,CHopstix,8-Apr-19,"Rap,Hip-Hop,West Coast,Trap","Travis scott, Dj dahi, Kendrick lamar, Schoolboy q",
"Marshmello, Tyga, Chris Brown",Light It Up,25-Apr-19,"R&;B,West Coast,Electro House,Electro,Electronic,Rap","Judge, Marshmello, Chris brown, Tyga",
ScHoolboy Q,Numb Numb Juice,14-Mar-19,"Rap,Gangsta Rap,Hip-Hop,Trap,West Coast","Baby keem, Kendrick lamar, Nez and rio, Dj fu, Schoolboy q",
P!nk,Love Me Anyway,26-Apr-19,Pop,"Tom douglas, Allen shamblin, P nk",Chris Stapleton
BLACKPINK,Kill This Love,5-Apr-19,"Trap,Dance,Rap,Girl Group,Pop,Korean,K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d)","Teddy park, Bekuh boom",
Post Malone,Better Now,27-Apr-18,"R&;B,Pop","Kaan gunesberk, William walsh, Carl rosen, Billy walsh, Frank dukes, Louis bell, Post malone",
Imagine Dragons,Bad Liar,6-Nov-18,"Rock,Adult Alternative,Ballad,Alternative Rock,Alternative,Pop-Rock,Indie Rock,Alternative Pop,Indie Pop,Pop","Imagine dragons, Jorgen odegard, Daniel platzman, Ben mckee, Wayne sermon, Aja volkman, Dan reynolds",
French Montana,Slide,18-Apr-19,"Trap,Hip-Hop,East Coast,West Coast,Rap",French montana,"Blueface, Lil Tjay"
"Khalid, Kane Brown",Saturday Nights,11-Jan-19,"Remix,Country,R&;B,Pop","Josh hoge, Charlie handsome, Kane brown, Jamil chammas, Khalid",
Lil Baby,Pure Cocaine,30-Nov-18,"Motown,Trap,Rap","Chris rosser, Lil baby",
Scotty McCreery,This Is It,7-May-18,Country,"Scotty mccreery, Aaron eshuis, Frank rogers",
Billie Eilish,My Strange Addiction,29-Mar-19,"Alternative Pop,Alternative,Pop",Finneas,
Alec Benjamin,Let Me Down Slowly,7-Jan-19,"Pop,Remix","Alessia cara, Alec benjamin, Sir nolan, Michael pollack",Alessia Cara
Billie Eilish,Xanny,29-Mar-19,"Indie,Alternative,Alternative Pop,Art Rock,Glam Rock,Indie Pop,Pop","Billie eilish, Finneas",
Michael Ray,One That Got Away,1-Jun-18,Country,"Matthew thomas ramsey, Trevor rosen, Josh osborne, Jesse frasure",
Bad Bunny,MIA,11-Oct-18,"Latin Urban,Reggaeton,Pop,Puerto Rico,Canada,Trap,R&;B,Rap,Latin Music,Latin Trap,En Espa\xc3\xb1ol","Edgar semper, Henry pulman, Francis diaz, Weezy kingz, Elvin pena, Noah assad, Joseph velez, Bad bunny, Drake, Dj luian",Drake
Dan + Shay,Tequila,10-Jan-18,Country,"Shay mooney, Jordan reynolds, Nicolle galyon, Dan smyers",
Cardi B,Money,23-Oct-18,"Hip-Hop,Trap,Rap","Klenord raphael, Pardison fontaine, Cardi b, J white did it",
Five Finger Death Punch,Blue On Black,12-Apr-19,Rock,"Tia sellers, Mark selby, Kenny wayne shepherd","Kenny Wayne Shepherd, Brantley Gilbert &"
Nipsey Hussle,Double Up,16-Feb-18,"West Coast,Rap","Teddy walton, Axl folie, Alexander chigbue, Nipsey hussle, Dom kennedy, Belly, Larrance dopson, John groover, Michael ray cox jr, David camon","Belly, DOM KENNEDY"
FLETCHER,Undrunk,25-Jan-19,Pop,"Fletcher, One love, Kinetics, Malay, Amy allen",
Nipsey Hussle,Last Time That I Checc'd,16-Feb-18,"West Coast,Rap","Nipsey hussle, Yg, John groover, Michael ray cox jr, Zairyus jackson, Larrance dopson, Brody brown",YG
Riley Green,There Was This Girl,29-Jun-18,Country,Riley green,
Khalid,My Bad,7-Mar-19,R&;B,"Dernst dmile emile ii, Khalid",
"Ariana Grande, Victoria Monet",Monopoly,1-Apr-19,"R&;B,Pop","Scootie, Michael mikey foster, Tim suby, Victoria monet, Ariana grande",
"Khalid, SAFE",Don't Pretend,5-Apr-19,"R&;B,Pop","Murda beatz, Charlie handsome, Doc mckinney, Khalid",
Khalid,Bad Luck,5-Apr-19,Pop,"Mike riley, Kurtis mckenzie, Al shux, Khalid",
Billie Eilish,All The Good Girls Go To Hell,29-Mar-19,"Alternative Pop,Alternative,Trip-Hop,Soul Pop,Electro-Pop,Electronic,Pop","Billie eilish, Finneas",
Khalid,Right Back,5-Apr-19,Pop,"Tor erik hermansen, Charlie handsome, Rodney jerkins, Stargate, Mike riley, Michelle williams, Jolyon skinner, Joe thomas, Japhe tejeda, Jamil chammas, Denis kosiak, Brenda russell, Khalid",
Aventura,Inmortal,5-Apr-19,"Dominican Republic,Latin Music,En Espa\xc3\xb1ol,Bachata,Pop","Romeo santos, Alexander caba",
Nipsey Hussle,Dedication,13-Feb-18,"West Coast,Rap","Nipsey hussle, Kendrick lamar, Larrance dopson, Lamar mars edwards, Michael ray cox jr, John groover, Axl folie, Alexandria dopson",Kendrick Lamar
Nipsey Hussle,Victory Lap,16-Feb-18,"West Coast,Rap","Nipsey hussle, Stacy barthe, Amaire johnson, Sap, Alex turner",Stacy Barthe
Kodak Black,ZEZE,12-Oct-18,"East Coast,Motown,Memes,Trap,Rap","Octave, Mprince, J thomas, Christina brittany gandy rodgers, Da doman, Offset, Kodak black, Travis scott","Travis Scott, Offset"
Billie Eilish,I Love You,29-Mar-19,"Indie Pop,Alternative,Alternative Pop,R&;B,Folk,Indie,Ballad,Acoustic,Pop","Billie eilish, Finneas",
Billie Eilish,Ilomilo,29-Mar-19,"Chillhop,Indie Pop,Alternative Pop,Dance-Pop,Pop","Billie eilish, Finneas",
Billie Eilish,Listen Before I Go,29-Mar-19,"Soul Pop,Ballad,Bedroom Pop,Alternative,Alternative Pop,Pop","Billie eilish, Finneas",
Billie Eilish,8,29-Mar-19,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop","Billie eilish, Finneas",
City Girls,Twerk,9-Nov-18,"East Coast,Motown,Trap,Rap","Cardi b, Master p, Choppa, Jt, Yung miami",Cardi B
"Billie Eilish, Khalid",Lovely,19-Apr-18,"Pop,Soul,Ballad,Alternative","Finneas, Billie eilish, Khalid",
"benny blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,28-Feb-19,"Colombia,Electronic Pop,Electro,Electro-Pop,Electronic,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Latin Pop,Pop","Cris chil, Jhay cortez, Tainy, Mike sabath, Benny blanco, J balvin, Selena gomez",
Chris Stapleton,Millionaire,20-Oct-17,Country,Kevin welch,
Jason Aldean,Girl Like You,13-Apr-18,Country,"Michael tyler, Josh mirenda, Jaron boyer",
"Cardi B, Bad Bunny, J Balvin",I Like It,6-Apr-18,"Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap","Tainy, Cardi b, Mambo kingz, Dj luian, Invincible producer, Tony pabon, Noah assad, Manny rodriguez, Klenord raphael, Jorden thorpe, Edgar machuca, Benny bonilla, J white did it, J balvin, Bad bunny",
Juice WRLD,Lucid Dreams,1-Jul-17,"Hip-Hop,Emo,Memes,Alternative Pop,Cloud Rap,Emo Rap,Trap,Rap",Juice wrld,
DJ Snake,Taki Taki,28-Sep-18,"Rap,French Pop,France,Latin Urban,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Pop","Dj snake, Hi music hi flow, Bava, Juan g rivera vasquez, Vicente saavedra, Ozuna, Selena gomez","Selena Gomez, Ozuna, Cardi B"
Jake Owen,Down To The Honkytonk,10-Aug-18,Country,"Shane mcanally, Luke laird, Rodney clawson",
NAV,Price On My Head,22-Mar-19,"Cloud Rap,Trap,R&;B,Canada,Rap","Belly, Alexonweed, Derek wise, The weeknd, Nav",The Weeknd
Logic,Confessions Of A Dangerous Mind,22-Mar-19,"Hip-Hop,Boom Bap,DMV,East Coast,Rap","6ix, Logic",
Jordan Davis,Take It From Me,19-Oct-17,Country,"Jacob davis, Jason gantt, Jordan davis",
Rich The Kid,Splashin,3-Dec-18,Rap,"Thelabcook, Frank dukes, Rich the kid",
Lil Skies,I,28-Feb-19,"Trap,Cloud Rap,Rap",Lil skies,
Juice WRLD,Hear Me Calling,1-Mar-19,"Cloud Rap,Trap,Dancehall,Afrobeats,Rap","George dickinson, Purps, Juice wrld",
Chris Brown,Undecided,4-Jan-19,"Tropical House,Pop,R&;B","Avedon, Shanice, Sylvester jackson, Patrizio pigliapoco, Narada michael walden, Jarvis baker, Felicia ferraro, Tone stith, Chris brown, Scott storch",
Kodak Black,Calling My Spirit,30-Nov-18,"Trap,Hip-Hop,R&;B,Rap","Jake one, Southside, Kodak black",
Bebe Rexha,Last Hurrah,15-Feb-19,"UK,Pop","Andrew wells, Nick long, Lauren christy, Bebe rexha",
Juice WRLD,Empty,8-Mar-19,"Emo Rap,Trap,Rap","Nick mira, Juice wrld",
Carrie Underwood,Love Wins,31-Aug-18,Country,"Brett james, David garcia, Carrie underwood",
Iggy Azalea,Sally Walker,15-Mar-19,"Dance,Hip-Hop,Aussie Hip-Hop,Australia,Trap,Rap","J white did it, Iggy azalea",
"Anuel AA, Romeo Santos",Ella Quiere Beber,1-Nov-18,"Puerto Rico,Dancehall,Latin Urban,Latin Trap,Latin Pop,Latin Music,En Espa\xc3\xb1ol,Pop","Anuel aa, Romeo santos",
Juice WRLD,Fast,8-Mar-19,"Cloud Rap,Emo Rap,Trap,Rap","Carl rosen, Frank dukes, Watt, Louis bell, Juice wrld",
Joji,Slow Dancing In The Dark,12-Sep-18,"Soul,Soul Pop,Lo-Fi,Ballad,Pop,R&;B","Patrick wimberly, Joji",
"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,14-Sep-18,"Island Music,R&;B,Trap,Pop,Rap","Trepounds, Dy krazy, Tarentino, Kodak black, Bruno mars, Gucci mane",
Juice WRLD,Maze,8-Mar-19,"Emo Rap,Trap,Rap","Boi 1da, Juice wrld",
Luke Bryan,What Makes You Country,6-Oct-17,Country,"Ashley gorley, Dallas davidson, Luke bryan",
Juice WRLD,Flaws And Sins,8-Mar-19,"Emo Rap,Trap,Rap","Nick mira, Juice wrld",
Kehlani,Nights Like This,10-Jan-19,"West Coast,R&;B","Tony maserati, Danny boy styles, Brandon hollemon, Sir nolan, Ty dolla sign, Kehlani",Ty Dolla $ign
Lady Gaga,Always Remember Us This Way,5-Oct-18,"TV,Musicals,Soundtrack,Pop","Lori mckenna, Hillary lindsey, Natalie hemby, Lady gaga",
Flipp Dinero,Leave Me Alone,14-Mar-18,Rap,Flipp dinero,
Sheck Wes,Mo Bamba,15-Sep-16,"Hip-Hop,NBA,East Coast,Memes,Basketball,Trap,Rap","Emanuell frantay williams, David biral, Denzel baptiste, 16yrold, Sheck wes",
Midland,Burn Out,28-Oct-16,Country,"Cameron duddy, Jess carson, Mark wystrach, Josh osborne, Shane mcanally",
Offset,Red Room,30-Nov-18,"Trap,Motown,Rap","Metro boomin, Offset",
2 Chainz,Whip,1-Mar-19,Rap,"2 chainz, Travis scott, Wondagurl, Mike dean",Travis Scott
Ariana Grande,Needy,8-Feb-19,"R&;B,Pop","Tayla parx, Tbhits, Victoria monet, Ariana grande",
Lukas Graham,Love Someone,7-Sep-18,"Piano,Adult Contemporary,Pop-Rock,Ballad,Danmark,Scandinavia,Pop","Jrm, Don stefano, Morten rissi ristorp, Morten pilo pilegaard, James alan, David labrel, Lukas forchhammer",
2 Chainz,Momma I Hit A Lick,1-Mar-19,"West Coast,Rap","2 chainz, Kendrick lamar, Pharrell williams",Kendrick Lamar
Pardison Fontaine,Backin' It Up,20-Sep-18,Rap,Pardison fontaine,Cardi B
Offset,Legacy,22-Feb-19,"Motown,Rap","Travis scott, 21 savage, Offset","Travis Scott, 21 Savage"
Lady Gaga,I'll Never Love Again,5-Oct-18,"Musicals,Soundtrack,Pop","Aaron raitiere, Hillary lindsey, Natalie hemby, Lady gaga",
Offset,How Did I Get Here,22-Feb-19,"East Coast,Motown,Rap","J cole, Offset",J. Cole
Ariana Grande,NASA,8-Feb-19,"Trap,R&;B,Pop","Ariana grande, Scootie, Tayla parx, Tbhits, Victoria monet",
Gunna,Outstanding,22-Feb-19,"Trap,Rap","Turbo, Ghetto guitar, Gunna",
Lil Pump,Be Like Me,21-Feb-19,"Trap,Rap","Lil pump, Lil wayne",Lil Wayne
Gunna,3 Headed Snake,22-Feb-19,"Trap,Rap","Wheezy, Gunna, Young thug",Young Thug
Gunna,Wit It,22-Feb-19,"Cloud Rap,Trap,Rap","Wheezy, Gunna",
The Chainsmokers,This Feeling,18-Sep-18,"EDM,Bass Music,Electro,Electro-Pop,Future Bass,Electronic,Dance,Pop","Emily warren, Andrew taggart, Alex pall",Kelsea Ballerini
Gunna,One Call,1-Feb-19,"Cloud Rap,Trap,Rap","Turbo, Jet, Gunna",
Mark Ronson,Nothing Breaks Like A Heart,29-Nov-18,"Nu Disco,Adult Contemporary,Dance-Pop,Pop,Pop Country,Disco","Miley cyrus, Mark ronson, Thomas brenneck, Conor szymanski, Ilsey, Maxime picard, Clement picard",Miley Cyrus
Ariana Grande,Imagine,14-Dec-18,"Ballad,Trap,Neo Soul,Alternative R&;B,R&;B,Pop","Jproof, Priscilla renea, Happy perez, Andrew pop wansel, Ariana grande",
Offset,Lick,22-Feb-19,"Motown,Rap",Offset,
Ariana Grande,Bad Idea,8-Feb-19,"Trap,Alternative R&;B,R&;B","Savan kotecha, Ilya, Max martin, Ariana grande",
Gunna,Speed It Up,11-Feb-19,"Trap,Rap","Turbo, Gunna",
Ariana Grande,Bloodline,8-Feb-19,"Dancehall,Reggae,R&;B,Pop","Ilya, Max martin, Savan kotecha, Ariana grande",
John Mayer,I Guess I Just Feel Like,22-Feb-19,Country,John mayer,
Ariana Grande,Fake Smile,8-Feb-19,"Neo Soul,Trap,R&;B,Pop","Kennedi, Joseph frierson, Mary frierson, Fred ball, Happy perez, Andrew pop wansel, Wendy rene, Priscilla renea, Justin tranter, Ariana grande",
"Gesaffelstein, The Weeknd",Lost In The Fire,11-Jan-19,"Electronic,Beef,France,Canada,Electro-Pop,Pop,R&;B","Belly, Nate donmoyer, Gesaffelstein, Daheala, The weeknd",
Ariana Grande,Ghostin,8-Feb-19,"Dream-Pop,Ballad,R&;B,Pop","Savan kotecha, Ilya, Max martin, Victoria monet, Ariana grande",
Thomas Rhett,Sixteen,8-Sep-17,Country,"Joe london, Sean douglas, Thomas rhett",
Ariana Grande,In My Head,8-Feb-19,"Alternative R&;B,Trap,R&;B,Pop","Andrew pop wansel, Happy perez, Lindel deon nelson, Jproof, Blu june, Brittany coney, Ariana grande",
Loud Luxury,Body,27-Oct-17,"Canada,Pop","Cassio, Brando, Loud luxury",Brando
"Zedd, Katy Perry",365,14-Feb-19,"West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop","Zedd, Katy perry, Caroline ailin, Corey sanders, Daniel davidsen, Cutfather, Peter wallevik",
Travis Scott,Yosemite,3-Aug-18,"Atlanta,Canada,Memes,Trap,Rap","Ramyonthebeat, Travis scott, June james, Turbo, Gunna, Nav",
Ariana Grande,Make Up,8-Feb-19,"R&;B,Pop","Brian malik baptiste, Tayla parx, Tbhits, Victoria monet, Ariana grande",
Dustin Lynch,Good Girl,5-May-18,"Pop,Country",,
"XXXTENTACION, Lil Pump",Arms Around You,23-Oct-18,"Pop,Dancehall,East Coast,Dance,Latin Music,En Espa\xc3\xb1ol,Rap","Rio santana, Lil pump, Edgar barrera, Maluma, Swae lee, Xxxtentacion","Maluma, Swae Lee"
A Boogie Wit da Hoodie,Startender,14-Dec-18,"Motown,Trap,Rap","Chrishan, T minus, Tyga, A boogie wit da hoodie, Offset, Hitmaka","Offset, Tyga"
Lil Wayne,Uproar,5-Oct-18,Rap,"Holland dozier holland, Lamont dozier, Eddie holland, Brian holland, Avery chambliss, Swizz beatz, Lil wayne",
Dierks Bentley,Burning Man,25-May-18,Country,"Luke dick, Bobby pinson",Brothers Osborne
Jacquees,You,30-Mar-18,Rap,Jacquees,
Zara Larsson,Ruin My Life,18-Oct-18,"Scandinavia,Scandipop,Synth-Pop,R&;B,Pop","Jordan k johnson, Delacey, Michael pollack, Stefan johnson, Sermstyle, Jackson foote",
"Tory Lanez, Rich The Kid",Talk To Me,21-Jun-18,"Instrumental Hip-Hop,Trip-Hop,Dancehall,Trap,Canada,R&;B,Rap","Barrington wright, Gabriel tavarez, Smash david, Rich the kid, Tory lanez",
Kacey Musgraves,Rainbow,11-Feb-19,Country,"Shane mcanally, Natalie hemby, Kacey musgraves",
Marshmello,Alone,13-May-16,"Electronic Trap,Electronic,Pop",Marshmello,
Ariana Grande,Breathin,17-Aug-18,"Dance-Pop,Electro-Pop,R&;B,Pop","Ilya, Max martin, Peter svensson, Savan kotecha, Ariana grande",
Ella Mai,Trip,3-Aug-18,"UK,R&;B","Ella mai, Varren wade",
"Khalid, Normani",Love Lies,14-Feb-18,"Soundtrack,R&;B","Tayla parx, Jamil chammas, Charlie handsome, Khalid, Normani",
Bazzi,Beautiful,2-Aug-18,"Remix,Ballad,R&;B,Pop","Camila cabello, Mike woods, Kevin white, Bazzi",Camila Cabello
Future,First Off,18-Jan-19,"Atlanta,Trap,Rap","Amir cash esmailian, Atl jacob, Travis scott, Future",Travis Scott
"benny blanco, Juice WRLD",Roses,5-Dec-18,"Emo Rap,Pop-Punk,Pop,Rap","Happy perez, Cashmere cat, Brendon urie, Juice wrld, Benny blanco",Brendon Urie
Logic,Keanu Reeves,18-Jan-19,"DMV,East Coast,Rap","Ag, 6ix, Logic",
French Montana,No Stylist,20-Sep-18,"Trap,Canada,Rap","Chrishan, Norman landsberg, London on da track, Leslie weistein, John elis ventura, Hector chaparro, A1, Felix pappalardi, Hitmaka, Drake, French montana",Drake
Future,Crushed Up,4-Jan-19,"Atlanta,Trap,Rap","Ricky racks, Matt cap, Future, Wheezy",
Jimmie Allen,Best Shot,12-Oct-18,Country,"Jp williams, Josh london, Jimmie allen",
XXXTENTACION,Sauce!,23-Jan-19,"R&;B,Remix,Trap,Rap","Bass santana, Xxxtentacion",
XXXTENTACION,BAD!,9-Nov-18,"Hip-Hop,Cloud Rap,R&;B,Trap,Rap","Robert soukiasyan, John cunningham, Xxxtentacion",
Russell Dickerson,Blue Tacoma,5-Mar-18,Country,"Russell dickerson, Parker welling, Casey robert brown",
Imagine Dragons,Natural,17-Jul-18,"Alternative,Adult Alternative,Indie Rock,Alternative Rock,Pop-Rock,Rock,Pop","Robin fredriksson, Mattias larsson, Justin tranter, Daniel platzman, Ben mckee, Wayne sermon, Dan reynolds",
Future,Jumpin On A Jet,9-Jan-19,"Atlanta,Trap,Rap","Cristian castro, Southside, Future",
Future,Never Stop,18-Jan-19,"Atlanta,Cloud Rap,Trap,Rap","Billboard hitmakers, Atl jacob, Future",
Camila Cabello,Consequences,12-Jan-18,"Ballad,Piano,Cuba,M\xc3\xa9xico,Pop","Emily weisband, Frank dukes, Bart schoudel, Amy wadge, Nicolle galyon, Camila cabello",
Future,Temptation,18-Jan-19,"Atlanta,Trap,Rap","Fxxxxy, Dj spinz, Metro boomin, Tay keith, Future",
Future,Rocket Ship,18-Jan-19,"Atlanta,Trap,Rap","Atl jacob, Future",
"Silk City, Dua Lipa",Electricity,7-Sep-18,"Retro,Disco,Electro House,Dance-Pop,Dance,Electronic,UK,House,Pop","Diana gordon, Dua lipa, Picard brothers, Jarami, Diplo, Mark ronson, Romy madley croft, Jr blender, Jake oh, Rami dawod",
"Hikaru Utada, Skrillex",Face My Fears,18-Jan-19,"Theme Song,Future Bass,Disney,Electro-Pop,Electronic,Soundtrack,Gaming,Japan,Pop","Poo bear, Skrillex, Hikaru utada",
Future,Call The Coroner,18-Jan-19,"Atlanta,Trap,Rap","Cubeatz, Tm88, Future",
Luke Combs,She Got The Best Of Me,1-Jul-14,Country,"Rob snyder, Luke combs, Channing wilson",
"Future, Juice WRLD",Fine China,15-Oct-18,"Trap,Rap","Future, Juice wrld",
Ski Mask The Slump God,Nuketown,30-Nov-18,"Hip-Hop,Screamo,Trap,Rap","Juice wrld, Ski mask the slump god",Juice WRLD
Metro Boomin,Space Cadet,2-Nov-18,"Trap,Rap","Allen ritter, Metro boomin, Wheezy, Gunna",Gunna
Lil Pump,Butterfly Doors,4-Jan-19,"Trap,Rap",Lil pump,
YoungBoy Never Broke Again,Valuable Pain,10-Dec-18,Rap,Youngboy never broke again,
21 Savage,Can't Leave Without It,21-Dec-18,"Motown,Trap,Rap","Wheezy, Gunna, Lil baby, 21 savage",
Nicki Minaj,Good Form,29-Nov-18,"Remix,Rap","Mike will made it, Pluss, Lil wayne, Nicki minaj",Lil Wayne
Billie Eilish,idontwannabeyouanymore,21-Jul-17,"Dark Pop,Alternative Pop,Alternative,Pop","Billie eilish, Finneas",
Kip Moore,Last Shot,8-Sep-17,Country,"David lee murphy, Dan couch, Kip moore",
"Shawn Mendes, Zedd",Lost In Japan,27-Sep-18,"Canada,R&;B,Remix,Electronic,Dance,Pop","Teddy geiger, Scott harris, Nate mercereau, Shawn mendes",
21 Savage,Monster,21-Dec-18,"Atlanta,Hip-Hop,Trap,Rap","Dave sava6e, Calvin tarvin, Axl folie, Dj dahi, Childish gambino, 21 savage",
A Boogie Wit da Hoodie,Demons And Angels,21-Dec-18,"Cloud Rap,Trap,Rap","Richie souf, A boogie wit da hoodie, Juice wrld",Juice WRLD
6ix9ine,KIKA,27-Nov-18,"Trap,R&;B,Canada,East Coast,Rap","Scott storch, Avedon, Tory lanez, 6ix9ine",Tory Lanez
"Tyga, Nicki Minaj",Dip,29-Oct-18,"West Coast,Rap","Da doman, Nicki minaj, Tyga",
Eminem,Lucky You,31-Aug-18,Rap,"Eminem, Joyner lucas, Boi 1da, Jahaan sweet, Illadaproducer",Joyner Lucas
Mitchell Tenpenny,Drunk Me,26-Mar-18,Country,"Mitchell tenpenny, Justin wilson, Jordan schmidt",
Meek Mill,Dangerous,6-Jul-18,"East Coast,R&;B,Rap","Chrishan, James worthy, Gabrielle goldiie nowee, Hitmaka, Pnb rock, Jeremih, Meek mill","Jeremih, PnB Rock"
XXXTENTACION,whoa,7-Dec-18,"Lo-Fi,Chillstep,Pop","John cunningham, Robert soukiasyan, Xxxtentacion",
21 Savage,All My Friends,21-Dec-18,"Trap,Rap","Louis bell, Post malone, 21 savage",
Mariah Carey,All I Want For Christmas Is You,,"East Coast,Christmas,R&;B,Pop","Mariah carey, Walter afanasieff",
Bobby Helms,Jingle Bell Rock,,"Pop,Rockabilly,Christmas,Rock","Jim boothe, Joe beal",
Brenda Lee,Rockin' Around The Christmas Tree,,"Christmas,Rock",Johnny marks,
Burl Ives,A Holly Jolly Christmas,,Pop,,
Nat King Cole,The Christmas Song,,"Pop,Christmas","Robert wells, Mel torme",
Andy Williams,It's The Most Wonderful Time Of The Year,,"Christmas,Holiday,Pop","George wyle, Edward pola",
Nosed Reindeer,Rudolph The Red,,"Christmas,Pop",Johnny marks,
Wham!,Last Christmas,,"Christmas,New Wave,Synth-Pop,Pop",George michael,
The Ronettes,Sleigh Ride,,"Christmas,Pop","Mitchell parish, Leroy anderson",
Gene Autry,Here Comes Santa Claus,,"Christmas,Pop",Gene autry,
Jose Feliciano,Feliz Navidad,,"Rock,Pop,Latin Pop,Latin Music,Holiday,Christmas",Jose feliciano,
Perry Como,Home For The Holidays,,"Pop,Christmas","Al stillman, Robert allen",
Bing Crosby,White Christmas,,"Pop,Christmas",Irving berlin,
Elvis Presley,Blue Christmas,,"R&;B,Christmas,Country,Rock","Jay w johnson, Billy hayes",
Darlene Love,Christmas,,Rock,,
Kelly Clarkson,Underneath The Tree,5-Nov-13,"Christmas,Pop","Greg kurstin, Kelly clarkson",
Chuck Berry,Run Rudolph Run,,"Christmas,Rock","Marvin brodie, Johnny marks",
Frank Sinatra,Jingle Bells,,"Christmas,Pop",James lord pierpont,
Katy Perry,Cozy Little Christmas,15-Nov-18,"Christmas,Holiday,Pop","Greg wells, Ferras, Katy perry",
Lauren Daigle,The Christmas Song,23-Nov-18,"Pop,Christian Pop,Christmas,Cover,Christian","Robert wells, Mel torme",
21 Savage,Break Da Law,21-Dec-18,"Trap,Rap","Doughboy beatz, Southside, Metro boomin, 21 savage",
21 Savage,1.5,21-Dec-18,"Motown,Trap,Rap","Nils, Wheezy, Offset, 21 savage",
21 Savage,Out For The Night,21-Dec-18,"Trap,Rap","Kid hazel, 21 savage",
21 Savage,Gun Smoke,21-Dec-18,"Trap,Rap","Freek van workum, Itsnicklus, Kid hazel, 21 savage",
21 Savage,ASMR,21-Dec-18,"Trap,Rap","Kid hazel, Metro boomin, 21 savage",
Paul McCartney,Wonderful Christmastime,,Rock,Paul mccartney,
Kodak Black,MoshPit,12-Dec-18,"Trap,Rap","Christopher gibbs, Edgar ferrera bmi, Juice wrld, Kodak black",Juice WRLD
Kodak Black,Testimony,14-Sep-18,Rap,"Major nine, Kodak black",
Kodak Black,Gnarly,14-Dec-18,"Cloud Rap,Trap,Rap","Kaixen, Diablo, Dyryk, Sebastian leon, Lil pump, Kodak black",Lil Pump
Meek Mill,Uptown Vibes,22-Nov-18,"East Coast,Latin Urban,En Espa\xc3\xb1ol,Latin Music,Latin Trap,Rap","Nija, Papamitrou, Anuel aa, Fabolous, Meek mill","Fabolous, Anuel AA"
6ix9ine,MAMA,27-Nov-18,"Pop,Motown,Trap,Rap","Consequence, Murda beatz, Sool got hits, Nicki minaj, Kanye west, 6ix9ine","Nicki Minaj, Kanye West"
lovelytheband,Broken,7-Jul-17,"Pop,Indie Pop,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock","Mitchy collins, Sam derosa, Christian medice",
Tyga,Taste,16-May-18,"Trap,West Coast,Rap","Da doman, Cameron forbes, Offset, Tyga",Offset
XXXTENTACION,Guardian Angel,7-Dec-18,"Hip-Hop,Emo,Cloud Rap,Alternative,Emo Rap,Lo-Fi,Rap","Shiloh dynasty, Xxxtentacion",
Ariana Grande,God Is A Woman,13-Jul-18,"Feminism,Alternative R&;B,Electro-Pop,Trap,R&;B,Pop","Rickard goransson, Max martin, Savan kotecha, Ilya, Ariana grande",
XXXTENTACION,I Don't Let Go,7-Dec-18,"Hip-Hop,Trap,Rap","Tim gomringer, Kevin gomringer, John cunningham, Xxxtentacion",
Meek Mill,What's Free,30-Nov-18,"East Coast,Rap","Streetrunner, Hal david, Clemm rishad, The notorious big, Carlos 6 july broady, Nashiem myrick, Tarik azzouz, Rick ross, Jay z, Meek mill","Rick Ross, JAY"
