Artists,Name,Date,Genre,Writing.Credits,Features
Kelsea Ballerini,Miss Me More,20-Oct-17,Country,"Leland, David hodges, Kelsea ballerini",
Dreamville,Down Bad,12-Jun-19,"East Coast,Atlanta,Rap","Pluss, Johnny venus, J cole, Young nudy, Bas, Jid","JID, Bas, J. Cole, EARTHGANG, Young Nudy"
Joji,Sanctuary,14-Jun-19,"Synth-Pop,Alternative R&;B,Pop,Ballad,Electronic","Joji, Luke niccoli, Justin raisen, Daniel wilson",
Marshmello,Rescue Me,14-Jun-19,"EDM,Pop-Punk,Electronic,Pop","Kevin skaff, Alex shelnutt, Joshua woodard, Neil westfall, Jeremy mckinnon, Marshmello",A Day To Remember
"Nicky Jam, Ozuna",Te Robare,22-Mar-19,"Reggaeton,Puerto Rico,Latin Urban,Latin Music,Latin Pop,En Espa\xc3\xb1ol,Pop","Juan diego medina velez, Huztle, Gaby music, Chris jeday, Ozuna, Nicky jam",
Juice WRLD,Robbery,13-Feb-19,"Trap,Emo Rap,Emo,Rap","Nick mira, Juice wrld",
Nipsey Hussle,Racks In The Middle,15-Feb-19,Rap,"Corbett, G dav, Hit boy, Roddy ricch, Nipsey hussle","Roddy Ricch, Hit"
Luke Combs,Beautiful Crazy,4-May-18,Country,"Wyatt b durrette, Robert williford, Luke combs",
Lil Baby,Close Friends,5-Oct-18,"Atlanta,Motown,Trap,Rap","Lil baby, Turbo",
Billie Eilish,Bury A Friend,30-Jan-19,"Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop","Billie eilish, Finneas",
Luke Combs,Even Though I'm Leaving,7-Jun-19,Country,"Ray fulcher, Wyatt b durrette, Luke combs",
Yo Gotti,Put A Date On It,25-Jan-19,Rap,"Lil baby, Yo gotti",Lil Baby
Avicii,Heaven,6-Jun-19,"Electro,EDM,Electro-Pop,Dance,Dance-Pop,Electronic,Scandipop,Scandinavia,Sverige,Pop","Chris martin, Avicii",
Future,Please Tell Me,7-Jun-19,"R&;B,Trap,Atlanta,Rap","Richie souf, Future",
Cody Johnson,On My Way To You,10-Aug-18,Country,"Tony lane, Brett james",
Ozuna,Amor Genuino,4-Jun-19,"Latin Pop,En Espa\xc3\xb1ol,Pop,Puerto Rico,Latin Music","Ozuna, Vicente saavedra",
Future,XanaX Damage,7-Jun-19,"Alternative R&;B,R&;B,Atlanta,Rap","Bobby raps, Kyle nelson, Will yanez, Future",
Future,Government Official,7-Jun-19,"Atlanta,Trap,Rap","Fxxxxy, Future",
Miley Cyrus,Mother's Daughter,31-May-19,"R&;B,LGBTQ+,Feminism,Pop","Alma, Andrew wyatt, Miley cyrus",
YNW Melly,Murder On My Mind,4-Mar-17,"Hip-Hop,Rap",Ynw melly,
NF,The Search,30-May-19,"Hip-Hop,Conscious Hip-Hop,Rap","Nf, Tommee profitt",
Joyner Lucas,Isis,7-May-19,"Trap,Hip-Hop,East Coast,DMV,Rap","Logic, Joyner lucas",Logic
Logic,Homicide,3-May-19,"Trap,Hip-Hop,DMV,Rap","Logic, Eminem, Chris delia, Luis resto, Tim schoegje, Donnell stephens iii, Dillan beau bailard, Jeremy alexander uribe",Eminem
Trippie Redd,Under Enemy Arms,29-May-19,Rap,"Mtk producer, Hammad beats, Trippie redd",
Jon Pardi,Night Shift,17-Jun-16,Country,"Billy montana, Phillip larue, Tofer brown",
21 Savage,A Lot,21-Dec-18,"East Coast,Trap,Rap","Sheila young, J white did it, Dj dahi, J cole, 21 savage",
Blueface,Thotiana,16-Feb-19,"Trap,Hip-Hop,West Coast,East Coast,Remix,Rap","Cardi b, Blueface",
DJ Khaled,Higher,17-May-19,"Neo Soul,West Coast,Rap","Henry davis, Kevin cossom, Nipsey hussle, John legend, Dj khaled","Nipsey Hussle, John Legend"
The Chainsmokers,Who Do You Love,7-Feb-19,"Future Bass,Dance-Pop,Dance,Australia,Pop","Alex pall, Andrew taggart, Talay riley, Oak, Sean douglas, Luke hemmings, Calum hood, Ashton irwin, Michael clifford, Trevorious, Zaire koalo",5 Seconds Of Summer
Mabel,Don't Call Me Up,18-Jan-19,"R&;B,UK,Pop","Kamille, Mabel, Steve mac",
Lil Dicky,Earth,19-Apr-19,"Memes,Charity,R&;B,Conscious Hip-Hop,Comedy,Satire,Afrobeats,UK,Climate Change,Pop,Hip-Hop,Rap","Lil dicky, Benny blanco, Cashmere cat, Jamil chammas, Ammo",
Lizzo,Juice,4-Jan-19,"Electro-Funk,Funk-Pop,Funk,Dance,Dance-Pop,Alternative Pop,Synth-Pop,R&;B","Theron thomas, Ricky reed, Lizzo",
Maluma,HP,1-Mar-19,"Colombia,Reggaeton,Latin Pop,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Pop","Vicente barco, Edgar barrera, Jonathan rivera tapia, Giancarlos rivera tapia, Maluma",
YNW Melly,Mixed Personalities,18-Jan-19,"Rap,Trap","C clipbeatz, Kanye west, Ynw melly",Kanye West
Bazzi,Paradise,4-Apr-19,Pop,Bazzi,
Jhene Aiko,Triggered,8-May-19,"West Coast,R&;B","Brian warfield, Mac robinson, Ross james, Julian quan viet le, Jhene aiko",
Maroon 5,Girls Like You,30-May-18,"Pop-Rock,East Coast,Remix,Rap,Pop","Cardi b, Gian stone, Cirkut, Starrah, Adam levine, Jason evigan",Cardi B
"Tyler, The Creator",I Think,17-May-19,"Electro-Funk,Funk,Alternative Dance,Nu Disco,Disco,Nigeria,Rap,Neo Soul,Alternative R&;B,R&;B,Alternative,Experimental,West Coast","Nkono teles, Bibi mascel, Tyler the creator",
DJ Khaled,Celebrate,17-May-19,"Trap,Pop,R&;B","Naija, Teddy walton, Frank dukes, Post malone, Travis scott, Dj khaled","Travis Scott, Post Malone"
DJ Khaled,Jealous,17-May-19,"Rap,R&;B","Roger ball, Denisia andrews songs, Chris brown, James stewart, Owen mcintyre, Alan gorrie, Stephen ferrone, Malcolm duncan, Diana king, Kingsley gardner, Brittany coney, Blu june, Tay keith, Dj khaled, Lil wayne, Big sean","Chris Brown, Lil Wayne, Big Sean"
"Tyler, The Creator",Running Out Of Time,17-May-19,"Rap,Neo Soul,Alternative R&;B,R&;B,Experimental,Alternative,West Coast",Tyler the creator,
"Tyler, The Creator",Igor's Theme,17-May-19,"Alternative,Rap,Experimental","Lil uzi vert, Tyler the creator",
"Tyler, The Creator",New Magic Wand,17-May-19,"Experimental,Psychedelic Soul,Hip-Hop,Rap,Psychedelic,Alternative",Tyler the creator,
"Tyler, The Creator",A Boy Is A Gun,17-May-19,"Rap,Neo Soul,Alternative R&;B,Experimental,Alternative,West Coast,Alternative Pop,R&;B","Lester allen mckenzie, Bobby massey, Bobby dukes, Tyler the creator",
"Tyler, The Creator",What's Good,17-May-19,"Rap,Hardcore Hip-Hop,Experimental,Alternative,West Coast",Tyler the creator,
Lady Antebellum,What If I Never Get Over You,17-May-19,"Ballad,Country","Laura veltz, Ryan hurd, Jon green, Sam ellis",
"Tyler, The Creator",Puppet,17-May-19,"Rap,Neo-Psychedelia,Psychedelic,Experimental,Soul,Alternative,West Coast","Mick ware, Kanye west, David smith, Tyler the creator",
DJ Khaled,Weather The Storm,17-May-19,"Atlanta,Trap,Rap","Streetrunner, Tarik azzouz, Michel jouveaux, Dj khaled, Alec r costandinos, Lil baby, Meek mill","Meek Mill, Lil Baby"
Brett Young,Here Tonight,14-Sep-18,Country,"Charles kelley, Justin ebach, Ben caver, Brett young",
Dean Lewis,Be Alright,28-Jun-18,"Rock,Alternative Pop,Alternative Rock,Indie Pop,Indie Rock,Singer-Songwriter,Alternative,Indie,Australia,Pop","Jon hume, Dean lewis",
"Lil Baby, Gunna",Drip Too Hard,9-Sep-18,"Hip-Hop,Atlanta,Memes,Motown,Trap,Rap","Gunna, Lil baby, Turbo",
Ariana Grande,"Thank U, Next",3-Nov-18,"Dream-Pop,Memes,R&;B,Pop","Victoria monet, Ariana grande, Njomza, Kaydence, Michael mikey foster, Scootie, Tayla parx, Tbhits",
